Row ID	From country	To country	Jury Points	Televote Points
363	F.Y.R. Macedonia	Bulgaria	10	10
364	F.Y.R. Macedonia	Sweden	0	0
365	F.Y.R. Macedonia	Germany	0	0
366	F.Y.R. Macedonia	France	0	0
367	F.Y.R. Macedonia	Poland	0	2
368	F.Y.R. Macedonia	Australia	8	3
369	F.Y.R. Macedonia	Cyprus	0	0
370	F.Y.R. Macedonia	Serbia	7	12
371	F.Y.R. Macedonia	Lithuania	0	0
372	F.Y.R. Macedonia	Croatia	6	5
373	F.Y.R. Macedonia	Russia	0	8
374	F.Y.R. Macedonia	Spain	0	0
375	F.Y.R. Macedonia	Latvia	3	0
376	F.Y.R. Macedonia	Ukraine	12	6
377	F.Y.R. Macedonia	Malta	0	0
378	F.Y.R. Macedonia	Georgia	0	0
379	F.Y.R. Macedonia	Austria	0	0
380	F.Y.R. Macedonia	United Kingdom	0	0
381	F.Y.R. Macedonia	Armenia	0	7
382	Finland	Belgium	0	0
383	Finland	Czech Republic	3	0
384	Finland	The Netherlands	10	0
385	Finland	Azerbaijan	0	0
386	Finland	Hungary	0	0
387	Finland	Italy	2	0
388	Finland	Israel	7	0
389	Finland	Bulgaria	0	4
390	Finland	Sweden	12	10
391	Finland	Germany	0	0
392	Finland	France	1	3
393	Finland	Poland	0	5
394	Finland	Australia	8	7
395	Finland	Cyprus	0	1
396	Finland	Serbia	0	0
397	Finland	Lithuania	6	0
398	Finland	Croatia	0	0
399	Finland	Russia	0	8
400	Finland	Spain	0	0
401	Finland	Latvia	0	2
402	Finland	Ukraine	0	12
403	Finland	Malta	5	0
404	Finland	Georgia	0	0
405	Finland	Austria	4	6
406	Finland	United Kingdom	0	0
407	Finland	Armenia	0	0
408	France	Belgium	0	4
409	France	Czech Republic	0	0
410	France	The Netherlands	7	0
411	France	Azerbaijan	0	0
412	France	Hungary	0	0
413	France	Italy	12	0
414	France	Israel	0	3
415	France	Bulgaria	10	5
416	France	Sweden	5	2
417	France	Germany	0	0
418	France	Poland	0	7
419	France	Australia	6	0
420	France	Cyprus	0	0
421	France	Serbia	0	0
422	France	Lithuania	0	0
423	France	Croatia	0	0
424	France	Russia	1	6
425	France	Spain	3	1
426	France	Latvia	0	0
427	France	Ukraine	0	10
428	France	Malta	4	0
429	France	Georgia	0	0
430	France	Austria	8	8
431	France	United Kingdom	0	0
432	France	Armenia	2	12
433	Georgia	Belgium	10	0
434	Georgia	Czech Republic	0	0
435	Georgia	The Netherlands	0	0
436	Georgia	Azerbaijan	0	7
437	Georgia	Hungary	0	2
438	Georgia	Italy	0	0
439	Georgia	Israel	3	0
440	Georgia	Bulgaria	0	3
441	Georgia	Sweden	6	0
442	Georgia	Germany	1	0
443	Georgia	France	4	0
444	Georgia	Poland	0	4
445	Georgia	Australia	8	1
446	Georgia	Cyprus	0	0
447	Georgia	Serbia	0	0
448	Georgia	Lithuania	5	5
449	Georgia	Croatia	2	0
450	Georgia	Russia	0	8
451	Georgia	Spain	0	0
452	Georgia	Latvia	7	6
453	Georgia	Ukraine	12	10
454	Georgia	Malta	0	0
455	Georgia	Austria	0	0
456	Georgia	United Kingdom	0	0
457	Georgia	Armenia	0	12
458	Germany	Belgium	5	0
459	Germany	Czech Republic	0	0
460	Germany	The Netherlands	4	3
461	Germany	Azerbaijan	0	0
462	Germany	Hungary	0	0
463	Germany	Italy	3	1
464	Germany	Israel	12	0
465	Germany	Bulgaria	0	4
466	Germany	Sweden	10	8
467	Germany	France	0	0
468	Germany	Poland	0	10
469	Germany	Australia	6	5
470	Germany	Cyprus	0	0
471	Germany	Serbia	0	0
472	Germany	Lithuania	1	0
473	Germany	Croatia	0	0
474	Germany	Russia	0	12
475	Germany	Spain	0	0
476	Germany	Latvia	2	0
477	Germany	Ukraine	7	6
478	Germany	Malta	0	0
479	Germany	Georgia	8	0
480	Germany	Austria	0	7
481	Germany	United Kingdom	0	0
482	Germany	Armenia	0	2
483	Greece	Belgium	0	0
484	Greece	Czech Republic	0	0
485	Greece	The Netherlands	0	0
486	Greece	Azerbaijan	1	0
487	Greece	Hungary	3	2
488	Greece	Italy	0	0
489	Greece	Israel	0	0
490	Greece	Bulgaria	0	7
491	Greece	Sweden	0	0
492	Greece	Germany	0	0
493	Greece	France	6	4
494	Greece	Poland	0	3
495	Greece	Australia	7	5
496	Greece	Cyprus	8	12
497	Greece	Serbia	0	0
498	Greece	Lithuania	0	0
499	Greece	Croatia	0	0
500	Greece	Russia	12	10
501	Greece	Spain	0	0
502	Greece	Latvia	0	0
503	Greece	Ukraine	2	6
504	Greece	Malta	4	0
505	Greece	Georgia	5	0
506	Greece	Austria	0	1
507	Greece	United Kingdom	0	0
508	Greece	Armenia	10	8
509	Hungary	Belgium	0	0
510	Hungary	Czech Republic	2	0
511	Hungary	The Netherlands	6	2
512	Hungary	Azerbaijan	7	0
513	Hungary	Italy	0	0
514	Hungary	Israel	0	0
515	Hungary	Bulgaria	0	4
516	Hungary	Sweden	4	7
517	Hungary	Germany	0	0
518	Hungary	France	0	1
519	Hungary	Poland	0	8
520	Hungary	Australia	12	3
521	Hungary	Cyprus	0	5
522	Hungary	Serbia	0	0
523	Hungary	Lithuania	3	0
524	Hungary	Croatia	0	0
525	Hungary	Russia	0	10
526	Hungary	Spain	5	0
527	Hungary	Latvia	8	0
528	Hungary	Ukraine	0	12
529	Hungary	Malta	10	0
530	Hungary	Georgia	0	0
531	Hungary	Austria	0	6
532	Hungary	United Kingdom	0	0
533	Hungary	Armenia	1	0
534	Iceland	Belgium	3	3
535	Iceland	Czech Republic	5	0
536	Iceland	The Netherlands	12	6
537	Iceland	Azerbaijan	0	1
538	Iceland	Hungary	0	0
539	Iceland	Italy	0	0
540	Iceland	Israel	0	0
541	Iceland	Bulgaria	0	0
542	Iceland	Sweden	6	12
543	Iceland	Germany	0	0
544	Iceland	France	2	5
545	Iceland	Poland	0	10
546	Iceland	Australia	10	8
547	Iceland	Cyprus	0	0
548	Iceland	Serbia	0	0
549	Iceland	Lithuania	0	4
550	Iceland	Croatia	7	0
551	Iceland	Russia	8	7
552	Iceland	Spain	0	0
553	Iceland	Latvia	0	0
554	Iceland	Ukraine	0	0
555	Iceland	Malta	4	0
556	Iceland	Georgia	0	0
557	Iceland	Austria	1	2
558	Iceland	United Kingdom	0	0
559	Iceland	Armenia	0	0
560	Ireland	Belgium	12	0
561	Ireland	Czech Republic	2	0
562	Ireland	The Netherlands	8	0
563	Ireland	Azerbaijan	0	0
564	Ireland	Hungary	0	0
565	Ireland	Italy	6	0
566	Ireland	Israel	4	0
567	Ireland	Bulgaria	10	5
568	Ireland	Sweden	5	2
569	Ireland	Germany	0	0
570	Ireland	France	3	0
571	Ireland	Poland	0	10
572	Ireland	Australia	0	6
573	Ireland	Cyprus	0	0
574	Ireland	Serbia	0	0
575	Ireland	Lithuania	0	12
576	Ireland	Croatia	0	0
577	Ireland	Russia	0	8
578	Ireland	Spain	0	0
579	Ireland	Latvia	1	7
580	Ireland	Ukraine	0	4
581	Ireland	Malta	0	0
582	Ireland	Georgia	0	0
583	Ireland	Austria	0	1
584	Ireland	United Kingdom	7	3
585	Ireland	Armenia	0	0
586	Israel	Belgium	6	1
587	Israel	Czech Republic	0	0
588	Israel	The Netherlands	0	0
589	Israel	Azerbaijan	0	2
590	Israel	Hungary	0	0
591	Israel	Italy	0	0
592	Israel	Bulgaria	7	7
593	Israel	Sweden	0	0
594	Israel	Germany	0	0
595	Israel	France	8	12
596	Israel	Poland	0	4
597	Israel	Australia	10	5
598	Israel	Cyprus	0	0
599	Israel	Serbia	0	0
600	Israel	Lithuania	1	0
601	Israel	Croatia	3	0
602	Israel	Russia	0	10
603	Israel	Spain	4	0
604	Israel	Latvia	5	0
605	Israel	Ukraine	12	8
606	Israel	Malta	0	0
607	Israel	Georgia	0	0
608	Israel	Austria	0	3
609	Israel	United Kingdom	0	0
610	Israel	Armenia	2	6
611	Italy	Belgium	0	0
612	Italy	Czech Republic	0	0
613	Italy	The Netherlands	4	0
614	Italy	Azerbaijan	0	0
615	Italy	Hungary	0	0
616	Italy	Israel	8	0
617	Italy	Bulgaria	0	7
618	Italy	Sweden	2	0
619	Italy	Germany	0	0
620	Italy	France	7	5
621	Italy	Poland	0	10
622	Italy	Australia	6	0
623	Italy	Cyprus	1	6
624	Italy	Serbia	0	4
625	Italy	Lithuania	0	2
626	Italy	Croatia	0	0
627	Italy	Russia	0	8
628	Italy	Spain	12	0
629	Italy	Latvia	0	0
630	Italy	Ukraine	10	12
631	Italy	Malta	5	0
632	Italy	Georgia	3	3
633	Italy	Austria	0	0
634	Italy	United Kingdom	0	0
635	Italy	Armenia	0	1
636	Latvia	Belgium	0	0
637	Latvia	Czech Republic	0	0
638	Latvia	The Netherlands	3	0
639	Latvia	Azerbaijan	0	3
640	Latvia	Hungary	0	0
641	Latvia	Italy	0	0
642	Latvia	Israel	2	0
643	Latvia	Bulgaria	1	1
644	Latvia	Sweden	8	7
645	Latvia	Germany	0	0
646	Latvia	France	0	0
647	Latvia	Poland	0	5
648	Latvia	Australia	5	6
649	Latvia	Cyprus	0	0
650	Latvia	Serbia	0	0
651	Latvia	Lithuania	10	8
652	Latvia	Croatia	0	0
653	Latvia	Russia	7	12
654	Latvia	Spain	0	0
655	Latvia	Ukraine	12	10
656	Latvia	Malta	4	0
657	Latvia	Georgia	0	2
658	Latvia	Austria	0	4
659	Latvia	United Kingdom	0	0
660	Latvia	Armenia	6	0
661	Lithuania	Belgium	5	0
662	Lithuania	Czech Republic	0	0
663	Lithuania	The Netherlands	0	0
664	Lithuania	Azerbaijan	0	0
665	Lithuania	Hungary	0	2
666	Lithuania	Italy	0	0
667	Lithuania	Israel	6	0
668	Lithuania	Bulgaria	2	0
669	Lithuania	Sweden	0	7
670	Lithuania	Germany	0	0
671	Lithuania	France	1	3
672	Lithuania	Poland	3	6
673	Lithuania	Australia	12	5
674	Lithuania	Cyprus	0	0
675	Lithuania	Serbia	0	0
676	Lithuania	Croatia	0	0
677	Lithuania	Russia	0	8
678	Lithuania	Spain	0	0
679	Lithuania	Latvia	7	12
680	Lithuania	Ukraine	8	10
681	Lithuania	Malta	0	0
682	Lithuania	Georgia	10	4
683	Lithuania	Austria	0	1
684	Lithuania	United Kingdom	0	0
685	Lithuania	Armenia	4	0
686	Malta	Belgium	0	0
687	Malta	Czech Republic	0	0
688	Malta	The Netherlands	0	3
689	Malta	Azerbaijan	0	6
690	Malta	Hungary	0	5
691	Malta	Italy	8	7
692	Malta	Israel	1	0
693	Malta	Bulgaria	10	8
694	Malta	Sweden	0	0
695	Malta	Germany	0	0
696	Malta	France	6	2
697	Malta	Poland	0	0
698	Malta	Australia	3	12
699	Malta	Cyprus	5	0
700	Malta	Serbia	0	0
701	Malta	Lithuania	0	0
702	Malta	Croatia	0	0
703	Malta	Russia	4	10
704	Malta	Spain	2	0
705	Malta	Latvia	0	0
706	Malta	Ukraine	0	4
707	Malta	Georgia	0	0
708	Malta	Austria	0	0
709	Malta	United Kingdom	12	1
710	Malta	Armenia	7	0
711	Moldova	Belgium	0	0
712	Moldova	Czech Republic	0	0
713	Moldova	The Netherlands	0	0
714	Moldova	Azerbaijan	0	8
715	Moldova	Hungary	0	0
716	Moldova	Italy	0	0
717	Moldova	Israel	0	0
718	Moldova	Bulgaria	0	2
719	Moldova	Sweden	6	0
720	Moldova	Germany	0	0
721	Moldova	France	0	6
722	Moldova	Poland	0	0
723	Moldova	Australia	10	5
724	Moldova	Cyprus	2	0
725	Moldova	Serbia	0	0
726	Moldova	Lithuania	4	3
727	Moldova	Croatia	1	0
728	Moldova	Russia	7	12
729	Moldova	Spain	8	0
730	Moldova	Latvia	0	1
731	Moldova	Ukraine	12	10
732	Moldova	Malta	3	0
733	Moldova	Georgia	0	0
734	Moldova	Austria	0	4
735	Moldova	United Kingdom	0	0
736	Moldova	Armenia	5	7
737	Montenegro	Belgium	3	0
738	Montenegro	Czech Republic	0	0
739	Montenegro	The Netherlands	0	0
740	Montenegro	Azerbaijan	0	7
741	Montenegro	Hungary	7	3
742	Montenegro	Italy	0	4
743	Montenegro	Israel	0	0
744	Montenegro	Bulgaria	2	5
745	Montenegro	Sweden	0	0
746	Montenegro	Germany	0	0
747	Montenegro	France	5	1
748	Montenegro	Poland	1	0
749	Montenegro	Australia	4	0
750	Montenegro	Cyprus	0	0
751	Montenegro	Serbia	6	12
752	Montenegro	Lithuania	0	2
753	Montenegro	Croatia	0	6
754	Montenegro	Russia	8	10
755	Montenegro	Spain	0	0
756	Montenegro	Latvia	0	0
757	Montenegro	Ukraine	0	8
758	Montenegro	Malta	12	0
759	Montenegro	Georgia	0	0
760	Montenegro	Austria	0	0
761	Montenegro	United Kingdom	0	0
762	Montenegro	Armenia	10	0
763	Norway	Belgium	5	2
764	Norway	Czech Republic	0	0
765	Norway	The Netherlands	6	0
766	Norway	Azerbaijan	0	0
767	Norway	Hungary	0	0
768	Norway	Italy	12	0
769	Norway	Israel	3	0
770	Norway	Bulgaria	8	5
771	Norway	Sweden	0	7
772	Norway	Germany	0	0
773	Norway	France	0	1
774	Norway	Poland	1	10
775	Norway	Australia	10	8
776	Norway	Cyprus	0	0
777	Norway	Serbia	0	0
778	Norway	Lithuania	2	12
779	Norway	Croatia	0	0
780	Norway	Russia	0	6
781	Norway	Spain	7	0
782	Norway	Latvia	0	3
783	Norway	Ukraine	4	4
784	Norway	Malta	0	0
785	Norway	Georgia	0	0
786	Norway	Austria	0	0
787	Norway	United Kingdom	0	0
788	Norway	Armenia	0	0
789	Poland	Belgium	0	0
790	Poland	Czech Republic	4	0
791	Poland	The Netherlands	0	0
792	Poland	Azerbaijan	0	0
793	Poland	Hungary	0	6
794	Poland	Italy	0	0
795	Poland	Israel	7	0
796	Poland	Bulgaria	3	3
797	Poland	Sweden	0	10
798	Poland	Germany	0	0
799	Poland	France	1	0
800	Poland	Australia	10	7
801	Poland	Cyprus	0	1
802	Poland	Serbia	0	0
803	Poland	Lithuania	2	0
804	Poland	Croatia	0	0
805	Poland	Russia	0	8
806	Poland	Spain	5	0
807	Poland	Latvia	6	5
808	Poland	Ukraine	12	12
809	Poland	Malta	0	0
810	Poland	Georgia	8	0
811	Poland	Austria	0	4
812	Poland	United Kingdom	0	0
813	Poland	Armenia	0	2
814	Russia	Belgium	0	0
815	Russia	Czech Republic	0	0
816	Russia	The Netherlands	0	0
817	Russia	Azerbaijan	10	6
818	Russia	Hungary	1	0
819	Russia	Italy	0	0
820	Russia	Israel	0	0
821	Russia	Bulgaria	0	0
822	Russia	Sweden	0	2
823	Russia	Germany	0	0
824	Russia	France	7	3
825	Russia	Poland	0	5
826	Russia	Australia	2	4
827	Russia	Cyprus	4	7
828	Russia	Serbia	0	0
829	Russia	Lithuania	0	0
830	Russia	Croatia	0	0
831	Russia	Spain	0	0
832	Russia	Latvia	3	1
833	Russia	Ukraine	0	10
834	Russia	Malta	8	0
835	Russia	Georgia	5	0
836	Russia	Austria	0	8
837	Russia	United Kingdom	6	0
838	Russia	Armenia	12	12
839	San Marino	Belgium	0	0
840	San Marino	Czech Republic	0	0
841	San Marino	The Netherlands	4	0
842	San Marino	Azerbaijan	0	0
843	San Marino	Hungary	2	1
844	San Marino	Italy	10	0
845	San Marino	Israel	0	0
846	San Marino	Bulgaria	0	3
847	San Marino	Sweden	0	4
848	San Marino	Germany	0	0
